id,first_name,last_name,age,city_id
1,Otto,Moraes,None,217
2,Pedro,Abreu,None,259
3,Maria Laura,Cassiano,None,385
4,Laís,Rodrigues,None,175
5,Maria Vitória,Gonçalves,None,302
6,Jade,Gonçalves,None,469
7,Pedro Lucas,das Neves,None,339
8,Davi Miguel,Monteiro,None,98
9,Lavínia,da Rosa,None,210
10,Maysa,Sousa,None,301
11,João Guilherme,Pires,None,228
12,Dom,Andrade,None,431
13,Isabella,Correia,None,12
14,Oliver,Brito,None,504
15,Bruna,Almeida,None,140
16,Maria Sophia,Souza,None,323
17,Emanuel,Vasconcelos,None,407
18,Otávio,Pereira,None,304
19,Noah,Marques,None,288
20,Daniela,Casa Grande,None,90
21,Leandro,Moraes,None,430
22,Ana Sophia,Aparecida,None,58
23,Lara,Silveira,None,316
24,Helena,Ferreira,None,421
25,Ana Clara,da Luz,None,40
26,João Guilherme,da Cruz,None,369
27,Lucas,Macedo,None,249
28,Amanda,Jesus,None,323
29,Gabriel,Nogueira,None,319
30,Mariane,da Conceição,None,479
31,Lucca,Costa,None,424
32,Milena,Viana,None,375
33,Kamilly,Pinto,None,493
34,Heloísa,Ribeiro,None,424
35,Rhavi,Mendonça,None,52
36,Guilherme,Melo,None,29
37,Kevin,Mendonça,None,489
38,Stella,Ribeiro,None,319
39,Marcela,Costa,None,496
40,Emanuelly,Sousa,None,360
41,Luana,Macedo,None,414
42,Theo,Sousa,None,396
43,Matteo,Moraes,None,414
44,Joana,Gomes,None,89
45,Maria Clara,Mendonça,None,442
46,Dom,Barros,None,192
47,Augusto,da Costa,None,396
48,Kevin,Novais,None,90
49,Evelyn,Dias,None,328
50,Davi Miguel,Costela,None,271
51,João Vitor,Rezende,None,200
52,Henry,Aragão,None,249
53,Otávio,Silva,None,172
54,Brayan,Silveira,None,273
55,Bryan,Pinto,None,405
56,Anthony,Aparecida,None,4
57,Isis,Garcia,None,186
58,Lunna,Oliveira,None,306
59,Enzo Gabriel,Nogueira,None,466
